,Hour,Minute,KWH/hh (per half hour),Season
50,0,0,0.1368562097526024,Summer
51,0,30,0.1291535954950803,Summer
52,1,0,0.1178016266417324,Summer
53,1,30,0.1093751837563331,Summer
54,2,0,0.1043269791399473,Summer
55,2,30,0.1016663699818054,Summer
56,3,0,0.0988734444104408,Summer
57,3,30,0.0975613898246647,Summer
58,4,0,0.0983163641271853,Summer
59,4,30,0.1023708526975528,Summer
60,5,0,0.107608667748861,Summer
61,5,30,0.1197563765224711,Summer
62,6,0,0.1348990313403934,Summer
63,6,30,0.1523411967300054,Summer
64,7,0,0.164731619379723,Summer
65,7,30,0.1727135930287632,Summer
66,8,0,0.1754761221159509,Summer
67,8,30,0.1781495427545156,Summer
68,9,0,0.1790550137836756,Summer
69,9,30,0.1789126044845407,Summer
70,10,0,0.1779544295909964,Summer
71,10,30,0.1776667430568052,Summer
72,11,0,0.1791805211939423,Summer
73,11,30,0.1821230923538013,Summer
74,12,0,0.1823950996194281,Summer
75,12,30,0.1804411938756512,Summer
77,13,0,0.1762295692708169,Summer
79,13,30,0.1727184775788313,Summer
80,14,0,0.1705899675965077,Summer
81,14,30,0.1711146619374773,Summer
82,15,0,0.1740180724817024,Summer
83,15,30,0.1812776988623057,Summer
84,16,0,0.1895148549349391,Summer
85,16,30,0.2004969710902049,Summer
86,17,0,0.2091570376421787,Summer
87,17,30,0.2206874790842459,Summer
88,18,0,0.2272449039403403,Summer
89,18,30,0.2305951161749845,Summer
90,19,0,0.2304418157551716,Summer
91,19,30,0.2343529625888457,Summer
92,20,0,0.2384610128547017,Summer
93,20,30,0.2423456342728839,Summer
94,21,0,0.2406090950693014,Summer
95,21,30,0.2339171568101314,Summer
96,22,0,0.2139388251147099,Summer
97,22,30,0.1894740449588747,Summer
98,23,0,0.1658587749421696,Summer
99,23,30,0.1457146871186718,Summer
